Report Name : Application Performance,,,,,,,,
Name : Application Performance,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.96,,,
Down (%),,,,,0.04,,,
Name : Application performance,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
VMD ( http://172.16.0.207/#/login ),HTTP/HTTPS URL,99.99,29 days 23 hours 52 minutes 27 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,99.99,29 days 23 hours 52 minutes 17 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,99.98,29 days 23 hours 48 minutes 9 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,100,29 days 23 hours 55 minutes 9 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,99.99,29 days 23 hours 51 minutes 0 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,99.72,29 days 21 hours 54 minutes 59 seconds ,0.28,,0 days 2 hours 0 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,100,29 days 23 hours 55 minutes 36 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,100,29 days 23 hours 55 minutes 9 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,99.98,29 days 23 hours 46 minutes 28 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,100,29 days 23 hours 55 minutes 26 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,99.8,29 days 22 hours 29 minutes 56 seconds ,0.2,,0 days 1 hours 26 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
EMS- APPLICATION ( https://172.16.0.50:8443 - http://172.16.0.50:8080/ ),HTTP/HTTPS URL,100,29 days 23 hours 56 minutes 46 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
